MAC- LUSTRE LIPSTICK-BNIB 3.g  pretty please  ,MAC,5060191644976,3.G BOXED BRAND NEW 100% AUTHENTIC MAC WILL BE SENT WITHIN 3 DAYS OF CLEARED PAYMENT
MAC matte lipstick KINDA SEXY,MAC,0885624462904,MACKINDA SEXY1(ONE) MATTE LIPSTICK@3g5ml(new/unused/smoke free home)(just as pictured)
MAC Amplified Creme Lipstick *SAINT GERMAIN* 3g,MAC,0773602153688,Bright creamy amplified pink
MAC Lip Pencil CURRANT (unboxed),MAC,9999999999999,pencil designed for shaping  lining or filling in the lip. Lip Pencils have a smooth  creamy texture that is perfect for lining the lips or filling them in. They are long-lasting and available in a wide selection of colours that each work well with many different lipstick shades. The colour of Lip Pencils is protected by Vitamin E  which acts as an anti-oxidant. Lip Pencils can be worn alone  with Lipstick  or Lipglass. Unboxed 1.45g
MAC Cremesheen Lipstick BRAVE RED,MAC,0773602166534,Colour plus texture for the lips. Stands out on the runway  simmers on the street! What made MAC famous.
Lipstick by MAC Rebel,MAC,9999999999999,Colour plus texture for the lips. Stands out on the runway  simmers on the street! What made MAC famous.
MAC Lustre Lipstick CAPRICIOUS,MAC,0773602033898,MAC Lipstick Capricious is a fanciful rose plum. Size: 3g/0.1 us oz Brand New Boxed and 100% authentic.
MAC- FROST LIPSTICK-BNIB 3.g  SANDY B ,MAC,5060191644624,3.G BOXED COLOUR: SANDY B BRAND NEW 100% AUTHENTIC MAC WILL BE SENT WITHIN 3 DAYS OF CLEARED PAYMENT
MAC TINTED LIPGLASS: ANGEL ~Fashion Sets Collection~,MAC,9999999999999,no
MAC Frost Lipstick FRESH MOROCCAN,MAC,0773602051052,Mac Lipstick Fresh moroccan is a Brick red with gold pearl﻿. Brand New Boxed and 100% authentic.
MAC Candy Yum Yum Matte Lipstick,MAC,0773602297375,MAC Matte Lipstick Candy Yum-Yum neon hot pink.
Mac Lip Care -Ruby Woo - Retro Matte Lipstick 5ml,MAC,0885411965601,MAC Retro Matte Lipstick Ruby Woo It is an outspoken deep red that was universal in its appeal. It is a warm terracotta-plum with pearl finish.
MAC Lustre Lipstick - VIVA GLAM VI,MAC,0773602088447,Colour plus texture for the lips. Stands out on the runway  simmers on the street! What made MAC famous.
MAC Lip Pencil - whirl,MAC,0773602066407,it is a nude that pairs well with a lot of colours.
MAC LipGlass Lip Gloss Spite,MAC,0773602013630,Available in a wide variety of colours  Mac Lipglass delivers a high gloss  glass-like finish or subtle sheen to lips. Worn on it s own or over lipstick  Lipglass is the perfect product for creating colour and shine that lasts. Containing Jojoba Oil to help soften and condition the lips  this tinted gloss also has a sponge tip applicator for quick  smooth and even application.
