NYX Pump It Up Lip Plumper-Liv,NYX,0800897806309,Boost your lips to its fullest shape and size with our Pump it Up Lip Plumper. Our Pump it Up Lip Plumpers come in 5 assorted colours and each shade acknowledges well known sensual celebrity lips such as Angelina Jolie and Scarlett Johansson  along with plenty other desirable famous vixens. With one swipe of the Pump it Up Lip Pumper  your lips beg
NYX Soft Matte Lip Cream SMLC06 - Istanbul,NYX,0604147575287,- Neither lipstick nor lip gloss - his is matte lip cream. A new kind of pout paint that goes on silky smooth and sets to a matte finish. Soft Matte Lip Cream is surprisingly durable and  unlike some matte lipstick formulas  also moisturising. - Formulation : Cream - Effect : Matte - Type : Lip Gross
NYX SOFT MATTE LIP CREAM TRANSYLVANIA,NYX,0800897829995,Neither lipstick nor lip gloss  this matte lip cream is a new kind of lip colour that goes on silky smooth and sets to a matte finish. Soft Matte Lip Cream is surprisingly durable and  unlike some matte lipstick formulas  also moisturising.
NYX LINGERIE LIQUID LIPSTICK-08 BEDTIME FLIRT,NYX,9999999999999,NYX LINGERIE LIQUID LIPSTICK-08 BEDTIME FLIRT
NYX Slim Lip Pencil Mauve,NYX,9999999999999,N/A - Non hazmat
NYX Cosmetics Soft Matte Lip Cream Set 4 (Monte Carlo  Copenhagen  and Transylvania),NYX,0800897843243,The matte must-have on almost every NYX fan s lips: the one and only  Soft Matte Lip Cream. These rich lip colours glide on creamy and smooth before setting to a striking matte finish. Swipe on standout lip looks in our all-time fave shades: Monte Carlo  Copenhagen and Transylvania.
NYX Cosmetics Wicked Lippie - WIL12 Envy,NYX,0800897833336,Velvety smooth with a dazzling metallic finish  these richly pigmented lipsticks will leave your lips with the ultimate spellbinding look.
NYX Soft Matte Lip Cream,NYX,0800897142865,Neither lipstick nor lip gloss-this is matte lip cream. A new kind of pout paint that goes on silky smooth and sets to a matte finish. Soft matte lip cream is surprisingly durable and  unlike some matte lipstick formulas  also moisturising. Available in 11 lip colours.
NYX Macaron Pastel Lippies Lipstick - Chambord : MALS12  Black  5ml,NYX,0800897831066,Fantasise in colour with our neon and pastel lippies in 12 of the creamiest shades you ll ever use. Our cruelty-free formula is packed with pigment and has a satin matte finish for long-wearing resilience. What it is : Creamy and highly pigmented pastel and neon coloured lipsticks What it does : Creates various pastel and neon lip looks Why we love it : These pastel and neon lipsticks come in 12 creamy shades  smell delicious and add an eccentric pop of colour to any look **We sell guaranteed 100% authentic items ***Please understand colour may varies due to the monitor of the computer.
NYX Cosmetics Butter Lip Gloss,NYX,9999999999999,Buttery soft and silky smooth  this decadent Butter Gloss is now available in 12 more sumptuous shades! Each glossy colour delivers sheer to medium coverage that melts onto your lips and is never sticky  leaving your lips soft  supple and kissable.
1 NYX Soft Matte Lip Cream SMLC07 - Addis Ababa + Free Earring Gift,NYX,0634145846881,Neither lipstick nor lip gloss.this is matte lip cream. A new kind of pout paint that goes on silky smooth and sets to a matte finish. Soft Matte Lip Cream is surprisingly durable and  unlike some matte lipstick formulas  also moisturising. Available in 13 lip colours.
NYX Cosmetic - Limited Edition 6 Jumbo Pencil Collection Gift Set Fast Ship,NYX,0885336090006,This package contains JEP622A JEP601 JEP625 JEP617 JEP611 JEP604
NYX Macaron Pastel Lippies Lipstick - Pistachio : MALS06  Mint Green  5ml,NYX,0800897831004,Fantasise in colour with our neon and pastel lippies in 12 of the creamiest shades you ll ever use. Our cruelty-free formula is packed with pigment and has a satin matte finish for long-wearing resilience. What it is : Creamy and highly pigmented pastel and neon coloured lipsticks What it does : Creates various pastel and neon lip looks Why we love it : These pastel and neon lipsticks come in 12 creamy shades  smell delicious and add an eccentric pop of colour to any look **We sell guaranteed 100% authentic items ***Please understand colour may varies due to the monitor of the computer.
NYX Slim Lip Liner Pencil  Splash 860 Peekaboo Neutral Brand New,NYX,0604154932660,**NYX COSMETICS** SLIM LIP LINER PENCIL colour :  Splash 860 PEEKABOO NEUTRAL (NEUTRAL BROWN WITH SLIGHT PINK TONE) NYX s most popular lip pencil. Formulated with the highest ingredients. This pencil provides colour with smooth and creamy application. Does not bleed. Long-lasting wear. Chose from 60 awesome lip colours! * ALL 60 Colours of SLIM LIP PENCIL * (size: 0ml/ 1 g each)
NYX Cosmetics Slim Lip Liner Pencil - Fushcia & Purple Rain,NYX,0680474765232,NYX s most popular lip pencil. Formulated with the highest ingredients. This pencil provides colour with smooth and creamy application. Does not bleed. Long lasting wear.
1 NYX Soft Matte Lip Cream SMLC21 TRANSYLVANIA / Matte deep violet + Free Earring Gift,NYX,0634145853902,Neither lipstick nor lip gloss this is matte lip cream. A new kind of pout paint that goes on silky smooth and sets to a matte finish. Soft Matte Lip Cream is surprisingly durable and  unlike some matte lipstick formulas  also moisturising. Available in 21 lip colours.
1 NYX Soft Matte Lip Cream SMLC04 - London + Free Earring Gift,NYX,0634145846850,Neither lipstick nor lip gloss.this is matte lip cream. A new kind of pout paint that goes on silky smooth and sets to a matte finish. Soft Matte Lip Cream is surprisingly durable and  unlike some matte lipstick formulas  also moisturising. Available in 13 lip colours.
Nyx Cosmetics Limited - Pure Decadence Lip Gloss Set03,NYX,0800897832933,NYX COSMETICS 2014 LIMITED PURE DECADENT - 3PCS BUTTER GLOSS
NYX Cannes Lip Cream and Nude Pink Lip Liner Set (Bundle of 2 Items)- Perfect Pairings Collection,NYX,0769823381733,no
NYX HIGH VOLTAGE 16 FELINE,NYX,0800897834999,Amp up your look with our High Voltage lipstick! Each of the 22 dramatic shades is infused with vibrant colour with a super-rich finish!
NYX Soft Matte Lip Cream - Sydney,NYX,9999999999999,Matte lip cream is a new kind of lip colour that goes on silky smooth and sets to a matte finish. Soft Matte Lip Cream is surprisingly durable and unlike some matte lipstick formulas also moisturising
NYX Slim Lip Liner Pencil 806 Chocolate,NYX,0885648932285,What is this product. Slim  trim but never prim  our lip pencils come in a variety of dashing shades.from auburn to orange and traffic-stopping red. The buttery  long-wearing lip liner formula goes on easily and resists bleeding. More info: Creamy formula glides on smoothly and blends easily Provides long-lasting wear that does not feather or bleed Contains Coconut Oils to hydrate and condition Works perfectly with any NYX lipstick or gloss
NYX Soft Matte Lip Cream 3 Piece Set - Give a Little Love,NYX,0800897816384,Spread love and kisses with supple lips using this triple-threat Soft Matte Lip Cream Set! Add a brilliant pop of colour to lips while providing a fashion forward matte look with a natural nude  a delicate baby pink  and a flashing hot pink gloss. This kit offers love for every day of the week. INGREDIENTS: Pentaerythrityl Tetraisostearate  Dimethi
NYX Mechanical Lip Pencil  Peony,NYX,0800897143602,Take your look to a whole new level of beautiful by emphasising your eyes! The creamy texture of our mechanical pencil for eyes delivers intense pigmentation while it moisturises. The formula is renowned for its lasting power. Illuminate your eyes with a variety of 15 mesmerising eye shades!
Nyx Lingerie Liquid Lipstick ~ EMBELLISHMENT,NYX,0884535633083,** Nyx Cosmetics Lip Lingerie Liquid Lipstick ~ EMBELLISHMENT (MUTED PURPLE) ~ ** IMPORTANT : Limited a maximum 2 pieces of totally colour of Nyx Cosmatics Lingerie Liquid Lipstick per orders and per user . Slip into something seductive with Lip Lingerie  our new weightless liquid lipstick with a plush matte finish. Available in a range of colour-kissed nudes—from cinnamon pink and chocolate brown  to warm mahogany red and classic nude beige—each sultry shade will coat the curves of your lips with irresistibly creamy colour. Ingredients For most recent ingredient list  please refer to packaging. All shades contain the following unless otherwise noted: Isododecane  Mineral Oil/Paraffinum Liquidum/Huile Minérale  Pentaerythrityl Tetraisostearate  Disteardimonium Hectorite  Polycyclopentadiene  Tocopheryl Acetate  Helianthus Annuus (Sunflower) Seed Oil  Tocopherol  Alumina  Phenoxyethanol. MAY CONTAIN / PEUT CONTENIR (+/-): Titanium Dioxide (CI 77891)  Iron Oxides (CI 77491  CI 77492  CI 77499)  Red 6 (CI 15850)  Red 7 (CI 15850)  Blue 1 Lake (CI 42090).
NYX Cosmetics Lip Primer Nude,NYX,9999999999999,Instant gratification for your lips. Create the perfect canvas for lipcolor with this texture and colour enhancing superhero. Ensures that lip product lasts and does not go outside the lines. Somebody get this product a cape! What it is : A velvety smooth primer that creates a smooth  uniform canvas. What it does : Preps and primes lips for smooth and long wear. Keeps lip colour from fading or feathering. Why we love it : Both colour correcting and texture adjusting formula makes lip colour look its best. How to use : Apply all over lips prior to lip pencil  lipstick and gloss. **We sell guaranteed 100% authentic items ***Please understand colour may varies due to the monitor of the computer.
NYX Butter Lipstick - BLS04 Lollies,NYX,9999999999999,NYX Butter Lipstick BLS04 Lollies - Pink Coral Net Wt. 5ml 4.5g The unique texture seems to melt onto the lips   giving full  yet lightweight coverage with a luxurious satin finish. Full coverage lipstick that feels like it melts one the lips. Adds a pop of colour to lips. This lightweight formula is non-sticky and deposits high impact colour with just one stroke. Apply directly on bare lips or over lip liner / primer for more pigmentation. **Please understand colour may varies due to the monitor of the computer.
NYX Mechanical Lip Pencil  Plum,NYX,0741655092780,Take your look to a whole new level of beautiful by emphasising your eyes! The creamy texture of our mechanical pencil for eyes delivers intense pigmentation while it moisturises. The formula is renowned for its lasting power. Illuminate your eyes with a variety of 15 mesmerising eye shades!
NYX Cosmetics Slim Lip Pencil 9 Piece Set,NYX,0640626379847,Slim  trim but never prim  our lip pencils come in 9 dashing shades-from auburn to orange and traffic-stopping red. The buttery  long-wearing lip liner formula goes on easily and resists bleeding. This Set contains CHOCOLATE  Splash 806) ROSE BROWN  Splash 814) EARTH TONE  Splash 823) 1000 YEARS  Splash 825) COLA  Splash 832) GOLD  Splash 837) SWEET BEAN  Splash 842) LATTE  Splash 847) NECTAR  Splash 850)
NYX Mechanical Lip Pencil  Nude Pink,NYX,0741655092759,Take your look to a whole new level of beautiful by emphasising your eyes! The creamy texture of our mechanical pencil for eyes delivers intense pigmentation while it moisturises. The formula is renowned for its lasting power. Illuminate your eyes with a variety of 15 mesmerising eye shades!
NYX Cosmetics Diamond Sparkle Lipstick,NYX,0800897120672,Diamond bright and shiny lipsticks that provide rich and intense colours with the added benefit of luminuous frosty shine. Made with NYX’s signature lipstick formula for succulent and attractive lips.
