241,Biore UV Anti-Pollution Body Care Serum Intensive White SPF50+/PA+++ 150ml,Biore,โลชั่นป้องกันแสงแดดและมลภาวะ สำหรับผิวกาย เนื้อเซรั่ม สูตรปรับผิวให้ดูกระจ่างใสขึ้นอย่างมีประสทิธิภาพ ด้วยเทคโนโลยีจากญี่ปุ่น พร้อมบำรุงให้ผิวดูกระจ่างใส ไม่แห้งกร้าน,http://www.konvy.com/static/team/2016/0329/14592413105275.jpg,skin protection
242,Biore Pore Pack 10pcs,Biore,แผ่นขจัดสิวเสี้ยน ช่วยขจัดสิ่งสกปรกและสิ่งอุดตันบริเวณจมูกได้อย่างล้ำลึก พร้อมกระชับรูขุมขนให้เล็กลง ให้ผิวบริเวณจมูกเรียบเนียนใส ไร้สิวเสี้ยน,http://www.konvy.com/static/team/2016/1013/14763411855231_280x280.jpg,skin protection
243,Biore Perfect Cleansing Water 300ml,Biore,คลีนซิ่งสูตรน้ำแร่ธรรมชาติ ทำความสะอาดเครื่องสำอางได้อย่างหมดจดอ่อนโยน แม้เครื่องสำอางสูตรกันน้ำ ปราศจากส่วนผสมของแอลกอฮอล์และน้ำมัน ไม่ทำให้ผิวระคายเคือง,http://www.konvy.com/static/team/2015/1228/14512952091118.jpg,skin protection
244,Biore Men Pore Pack Black Refreshing Cool 10pcs,Biore,แผ่นขจัดสิวเสี้ยนสำหรับผู้ชาย สูตรเย็น ช่วยขจัดสิ่งสกปรกและสิ่งอุดตันบริเวณจมูกได้อย่างล้ำลึก กระชับรูขุมขน พร้อมช่วยดูดซับความมันส่วนเกินที่ตกค้างในรูขุมขนอย่างเต็มประสิทธิภาพ,http://www.konvy.com/static/team/2016/1013/14763413347480_280x280.jpg,skin protection
245,Biore Facial Foam Pure Oil Clear 100g,Biore,นวัตกรรมโฟมล้างหน้าแห่งยุค ด้วยวิทยาการในการดูดจับสิ่งสกปรกตกค้างและความมันส่วนเกินอย่างหมดจด มาพร้อมไมโครสครับที่สามารถแตกตัวเพื่อขจัดความมันส่วนเกินอย่างอ่อนโยน,http://www.konvy.com/static/team/2015/1228/14512950087530.jpg,skin protection
246,Biore Perfect Cleansing Water Oil Clear 300ml,Biore,คลีนซิ่งสูตรน้ำแร่ธรรมชาติ สำหรับผิวผสมและผิวมัน ทำความสะอาดเครื่องสำอางได้อย่างหมดจดอ่อนโยน แม้เครื่องสำอางสูตรกันน้ำ ปราศจากส่วนผสมของแอลกอฮอล์และน้ำมัน ไม่ทำให้ผิวระคายเคือง,http://www.konvy.com/static/team/2016/0929/14751310356198.jpg,skin protection
247,Biore UV Aqua Rich BB Essence SPF50+/PA++++ 33ml,Biore,ครีมกันแดดเนื้อบีบีบางเบา สูตรน้ำเกลี่ยง่าย เนื้อครีมสีเบจเข้ากันได้กับทุกสีผิว ช่วยปรับให้ผิวสว่างสดใสเป็นธรรมชาติ ปกป้องผิวจากรังสี UVA และ UVB ในระดับสูงสุด,http://www.konvy.com/static/team/2015/1228/14512955471003.jpg,skin protection
248,Biore Marshmallow Foaming Facial Wash 150ml,Biore,นวัตกรรมใหม่ของการทำความสะอาดผิวที่เหนือชั้น ด้วยวิปโฟมเนื้อละเอียดหนานุ่ม ช่วยทำความสะอาดผิวได้อย่างหมดจดอ่อนโยน เพื่อผิวสะอาดนุ่มลื่นราวกับผิวเด็ก,http://www.konvy.com/static/team/2015/1228/14512951497279.jpg,skin protection
249,Biore UV Mild Care Milk SPF30/PA++ 120ml,Biore,โลชั่นน้ำนมป้องกันแดด สูตรอ่อนโยน พร้อมปกป้องผิวจากรังสี UVA และ UVB สาเหตุหลักของความหมองคล้ำ,http://www.konvy.com/static/team/2016/0621/14664790233368.jpg,skin protection
250,แพ็คคู่ Biore Pore Detox Botanicals Beads Facial Foam (100gx2),Biore,นำเข้าจากญี่ปุ่น ด้วยโฟมสครับสูตรผสานสารบำรุงในเม็ดบีดส์เนื้อละเอียดจากธรรมชาติ สลายสิ่งสกปรก พร้อมผลัดเซลล์ผิวเก่า เผยผิวสวยใสสุขภาพดีมีออร่า ราวปรนนิบัติผิวจากสปา,http://www.konvy.com/static/team/2016/0621/14664792614745.jpg,skin protection
251,แพ็คคู่ Biore Pore Detox Charcoal Cool Facial Foam (100gx2),Biore,นำเข้าจากญี่ปุ่น ด้วยโฟมเย็นผสานพลังถ่านไม้ไผ่ญี่ปุ่น สลายสิ่งสกปรก มลภาวะ ความมันส่วนเกินและเครื่องสำอางที่สะสมฝังลึกในรูขุมขนอย่างรวดเร็ว ง่ายดาย และอ่อนโยน,http://www.konvy.com/static/team/2016/0621/14664792197244.jpg,skin protection
252,Biore UV Aqua Rich Whitening Essence SPF 50+/PA++++ 33ml,Biore,ครีมกันแดดเนื้อครีมไวท์เทนนิ่ง มอบการบำรุงจากสารสกัดดอกคาโมมายล์ ฟื้นบำรุงผิวให้ขาวเนียนกระจ่างใส ปกป้องผิวจากรังสี UVA และ UVB ในระดับสูงสุด,http://www.konvy.com/static/team/2015/1228/14512957561173.jpg,skin protection
253,Biore Pore Pack Black 10pcs,Biore,แผ่นขจัดสิวเสี้ยน ช่วยขจัดสิ่งสกปรกและสิ่งอุดตันบริเวณจมูกได้อย่างล้ำลึก พร้อมกระชับรูขุมขนให้เล็กลง ผสานถ่านไม้ไผ่ญี่ปุ่น ช่วยลดความมันสูงถึง 3 เท่า,http://www.konvy.com/static/team/2016/1013/14763412547807_280x280.jpg,skin protection
254,แพ็คคู่ Biore Pore Detox Onsen Effect Facial Foam (100gx2),Biore,นำเข้าจากญี่ปุ่น ด้วยโฟมเนื้ออุ่น สลายสิ่งสกปรก มลภาวะ ความมันส่วนเกินและเครื่องสำอางที่สะสมฝังลึกในรูขุมขนอย่างรวดเร็ว ง่ายดาย และอ่อนโยน,http://www.konvy.com/static/team/2016/0621/14664791763542.jpg,skin protection
255,แพ็คคู่ Biore UV Aqua Rich Watery Essence SPF50+/PA++++ (15ml×2),Biore,ครีมกันแดดสูตรน้ำในรูปแบบเอสเซนต์เนื้อบางเบาไม่เหนอะหนะ สามารถทาทับเมคอัพระหว่างวันได้โดยที่เมคอัพไม่ลบเลือน,http://www.konvy.com/static/team/2015/1228/14512954531988.jpg,skin protection
256,Biore UV Aqua Rich Watery Essence SPF50+/PA++++ 15ml,Biore,ขายดีอันดับ 1 ครีมกันแดดสูตรน้ำในรูปแบบเอสเซนต์เนื้อบางเบาไม่เหนอะหนะ สามารถทาทับเมคอัพระหว่างวันได้โดยที่เมคอัพไม่ลบเลือน,http://www.konvy.com/static/team/2016/0613/14657870428583.jpg,skin protection
257,Biore UV Aqua Rich Watery Essence SPF50+ PA++++ 50g(Japan Package),Biore,ดดสูตรน้ำในรูปแบบเอสเซนต์เนื้อบางเบาไม่เหนอะหนะ สูตรเพิ่มพลังการปกป้องผิวจากแสงแดดได้อย่างมีประสิทธิภาพ,http://www.konvy.com/static/team/2015/1030/14462011079279.jpg,skin protection
258,Biore UV Aqua Rich Watery Gel SPF 50+/PA++++ 90ml,Biore,ครีมกันแดดเนื้อเจลบางเบา สูตรน้ำเกลี่ยง่าย ทาทับเมคอัพระหว่างวันได้ มอบการปกป้องผิวจากรังสี UVA และ UVB ในระดับสูงสุด,http://www.konvy.com/static/team/2015/1228/14512960651686.jpg,skin protection
259,Biore UV Aqua Rich Watery Essence SPF50+PA+++ 50g,Biore,กันแดดสูตรน้ำในรูปแบบเอสเซนต์เนื้อบางเบาไม่เหนอะหนะ สามารถทาทับเมคอัพระหว่างวันได้โดยที่เมคอัพไม่ลบเลือน,http://www.konvy.com/static/team/2015/1228/14512949465039.jpg,skin protection
260,Biore UV Anti-Pollution Body Care Serum Intensive White SPF50+/PA+++ 50ml,Biore,โลชั่นป้องกันแสงแดดและมลภาวะ สำหรับผิวกาย เนื้อเซรั่ม สูตรปรับผิวให้ดูกระจ่างใสขึ้นอย่างมีประสทิธิภาพ ด้วยเทคโนโลยีจากญี่ปุ่น พร้อมบำรุงให้ผิวดูกระจ่างใส ไม่แห้งกร้าน,http://www.konvy.com/static/team/2016/0329/14592412402411.jpg,skin protection
261,Biore Cleansing Milk 180ml,Biore,โลชั่นน้ำนมทำความสะอาดเครื่องสำอาง สลายเกลี้ยงแม้เมคอัพสูตรกันน้ำที่ติดทนทานมากที่สุด ปกป้องความสมดุล pH ของผิว มอบความชุ่มชื่นให้ผิวนุ่มเนียน ไม่แห้งตึงหรือระคายเคืองหลังล้างหน้า,http://www.konvy.com/static/team/2015/1228/14512952717456.jpg,skin protection
262,Biore UV Anti-Pollution Body Care Serum Extra Moist SPF50+/PA+++ 150ml,Biore,โลชั่นป้องกันแสงแดดและมลภาวะ สำหรับผิวกาย เนื้อเซรั่ม สูตรเพื่อผิวนุ่มชุ่มชื่นเป็นพิเศษ ด้วยเทคโนโลยีจากญี่ปุ่น พร้อมบำรุงให้ผิวดูกระจ่างใส ไม่แห้งกร้าน,http://www.konvy.com/static/team/2016/0329/14592411683645.jpg,skin protection
263,Biore UV Perfect Milk SPF50+/PA+++ 40ml,Biore,โลชั่นน้ำนมกันแดดสำหรับผิวหน้าและผิวกายอันดับ 1 ในญี่ปุ่น ป้องกันรังสี UVA และ UVB ได้ยาวนานแม้ผิวโดนเหงื่อหรือน้ำ เหมาะสำหรับผู้ที่กิจกรรมกลางแจ้งและกีฬาทางน้ำ,http://www.konvy.com/static/team/2015/1228/14512953804492.jpg,skin protection
264,Biore UV Color Control CC Milk SPF50+/Pa+++ 30ml,Biore,โลชั่นน้ำนมกันแดดสำหรับผิวหน้า ผสาน 3 คุณสมบัติ เป็นได้ทั้งรองพื้นเนื้อบางเบา ครีมกันแดด และมอยซ์เจอร์ไรเซอร์เติมความชุ่มชื่น เพื่อผิวให้กระจ่างใสเปล่งปลั่งตลอดวัน,http://www.konvy.com/static/team/2015/1228/14512958727562.jpg,skin protection
265,Biore UV Aqua Rich Watery Mousse SPF50+PA++++ 33ml,Biore,ครีมกันแดดเนื้อมูสที่จะเปลี่ยนเป็นน้ำเมื่อทาลงบนผิว ซึมซาบสู่ผิวได้ดี ไม่เหนียวเหนอะหนะ กระจายการปกป้องทั่วผิวหน้า ป้องกันได้ทั้ง UVA และ UVB อย่างสมบูรณ์แบบ,http://www.konvy.com/static/team/2015/1228/14512956324588.jpg,skin protection
266,Biore UV Perfect Face Milk SPF50/PA+++ 30ml,Biore,กันแดดสำหรับผิวหน้า สูตรน้ำนม เนื้อบางเบา ปกป้องทั้งยูวีเอ และยูวีบี ช่วยควบคุมความมัน สามารถเป็นMake Up Base เพื่อปรับสีผิวให้สว่างใสอย่างเป็นธรรมชาติ,http://www.konvy.com/static/team/2016/0621/14664791383590.jpg,skin protection
